date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:21:16	31738/31738	---M-Z	200	added ('OK')	text/html	etag:%22e63ea2-7bfa-5a7aefc80c980-gzip%22	http://radixtouch.in/templates/snkthemes/grexsan/source/light/popover.html	F:/Template-2020/admin-5/radixtouch.in/templates/snkthemes/grexsan/source/light/popover.html	(from http://radixtouch.in/templates/snkthemes/grexsan/source/light/index.html)
09:21:16	36514/36514	---M-Z	200	added ('OK')	text/html	etag:%22e63ea7-8ea2-5a7aefc80c980-gzip%22	http://radixtouch.in/templates/snkthemes/grexsan/source/light/progress.html	F:/Template-2020/admin-5/radixtouch.in/templates/snkthemes/grexsan/source/light/progress.html	(from http://radixtouch.in/templates/snkthemes/grexsan/source/light/index.html)
09:21:17	30757/30757	---M-Z	200	added ('OK')	text/html	etag:%22e63ead-7825-5a7aefc80c980-gzip%22	http://radixtouch.in/templates/snkthemes/grexsan/source/light/tooltip.html	F:/Template-2020/admin-5/radixtouch.in/templates/snkthemes/grexsan/source/light/tooltip.html	(from http://radixtouch.in/templates/snkthemes/grexsan/source/light/index.html)
09:21:17	161984/161984	---M-Z	200	added ('OK')	text/html	etag:%22e63e89-278c0-5a7aefc80c980-gzip%22	http://radixtouch.in/templates/snkthemes/grexsan/source/light/flags.html	F:/Template-2020/admin-5/radixtouch.in/templates/snkthemes/grexsan/source/light/flags.html	(from http://radixtouch.in/templates/snkthemes/grexsan/source/light/index.html)
09:21:17	42270/42270	---M-Z	200	added ('OK')	text/html	etag:%22e63eae-a51e-5a8d52a0a6e9e-gzip%22	http://radixtouch.in/templates/snkthemes/grexsan/source/light/typography.html	F:/Template-2020/admin-5/radixtouch.in/templates/snkthemes/grexsan/source/light/typography.html	(from http://radixtouch.in/templates/snkthemes/grexsan/source/light/index.html)
09:21:18	35734/35734	---M-Z	200	added ('OK')	text/html	etag:%22e63e67-8b96-5a7aefc80c980-gzip%22	http://radixtouch.in/templates/snkthemes/grexsan/source/light/avatar.html	F:/Template-2020/admin-5/radixtouch.in/templates/snkthemes/grexsan/source/light/avatar.html	(from http://radixtouch.in/templates/snkthemes/grexsan/source/light/index.html)
09:21:18	40340/40340	---M-Z	200	added ('OK')	text/html	etag:%22e63e71-9d94-5a7aefc80c980-gzip%22	http://radixtouch.in/templates/snkthemes/grexsan/source/light/card.html	F:/Template-2020/admin-5/radixtouch.in/templates/snkthemes/grexsan/source/light/card.html	(from http://radixtouch.in/templates/snkthemes/grexsan/source/light/index.html)
09:21:18	33041/33041	---M-Z	200	added ('OK')	text/html	etag:%22e63e9e-8111-5a7aefc80c980-gzip%22	http://radixtouch.in/templates/snkthemes/grexsan/source/light/modal.html	F:/Template-2020/admin-5/radixtouch.in/templates/snkthemes/grexsan/source/light/modal.html	(from http://radixtouch.in/templates/snkthemes/grexsan/source/light/index.html)
09:21:18	31501/31501	---M-Z	200	added ('OK')	text/html	etag:%22e63ea9-7b0d-5a7aefc80c980-gzip%22	http://radixtouch.in/templates/snkthemes/grexsan/source/light/sweet-alert.html	F:/Template-2020/admin-5/radixtouch.in/templates/snkthemes/grexsan/source/light/sweet-alert.html	(from http://radixtouch.in/templates/snkthemes/grexsan/source/light/index.html)
09:21:19	31749/31749	---M-Z	200	added ('OK')	text/html	etag:%22e63eac-7c05-5a7aefc80c980-gzip%22	http://radixtouch.in/templates/snkthemes/grexsan/source/light/toastr.html	F:/Template-2020/admin-5/radixtouch.in/templates/snkthemes/grexsan/source/light/toastr.html	(from http://radixtouch.in/templates/snkthemes/grexsan/source/light/index.html)
09:21:19	30388/30388	---M-Z	200	added ('OK')	text/html	etag:%22e63e83-76b4-5a7aefc80c980-gzip%22	http://radixtouch.in/templates/snkthemes/grexsan/source/light/empty-state.html	F:/Template-2020/admin-5/radixtouch.in/templates/snkthemes/grexsan/source/light/empty-state.html	(from http://radixtouch.in/templates/snkthemes/grexsan/source/light/index.html)
09:21:19	29236/29236	---M-Z	200	added ('OK')	text/html	etag:%22e63e9f-7234-5a7aefc80c980-gzip%22	http://radixtouch.in/templates/snkthemes/grexsan/source/light/multiple-upload.html	F:/Template-2020/admin-5/radixtouch.in/templates/snkthemes/grexsan/source/light/multiple-upload.html	(from http://radixtouch.in/templates/snkthemes/grexsan/source/light/index.html)
09:21:19	39688/39688	---M-Z	200	added ('OK')	text/html	etag:%22e63eaa-9b08-5a7aefc80c980-gzip%22	http://radixtouch.in/templates/snkthemes/grexsan/source/light/tabs.html	F:/Template-2020/admin-5/radixtouch.in/templates/snkthemes/grexsan/source/light/tabs.html	(from http://radixtouch.in/templates/snkthemes/grexsan/source/light/index.html)
09:21:20	44327/44327	---M-Z	200	added ('OK')	text/html	etag:%22e63e69-ad27-5a8d5c55db99c-gzip%22	http://radixtouch.in/templates/snkthemes/grexsan/source/light/basic-form.html	F:/Template-2020/admin-5/radixtouch.in/templates/snkthemes/grexsan/source/light/basic-form.html	(from http://radixtouch.in/templates/snkthemes/grexsan/source/light/index.html)
09:21:20	43612/43612	---M--	200	added ('OK')	image/png	etag:%22e63e32-aa5c-5a6e743850300%22	http://radixtouch.in/templates/snkthemes/grexsan/source/light/assets/img/users/user-3.png	F:/Template-2020/admin-5/radixtouch.in/templates/snkthemes/grexsan/source/light/assets/img/users/user-3.png	(from http://radixtouch.in/templates/snkthemes/grexsan/source/light/index.html)
09:21:20	47178/47178	---M-Z	200	added ('OK')	text/html	etag:%22e63e8a-b84a-5a7aefc80c980-gzip%22	http://radixtouch.in/templates/snkthemes/grexsan/source/light/forms-advanced-form.html	F:/Template-2020/admin-5/radixtouch.in/templates/snkthemes/grexsan/source/light/forms-advanced-form.html	(from http://radixtouch.in/templates/snkthemes/grexsan/source/light/index.html)
09:21:20	30095/30095	---M--	200	added ('OK')	image/png	etag:%22e63e35-758f-5a6e744b63000%22	http://radixtouch.in/templates/snkthemes/grexsan/source/light/assets/img/users/user-6.png	F:/Template-2020/admin-5/radixtouch.in/templates/snkthemes/grexsan/source/light/assets/img/users/user-6.png	(from http://radixtouch.in/templates/snkthemes/grexsan/source/light/index.html)
09:21:20	32559/32559	---M-Z	200	added ('OK')	text/html	etag:%22e63e8b-7f2f-5a7aefc80c980-gzip%22	http://radixtouch.in/templates/snkthemes/grexsan/source/light/forms-editor.html	F:/Template-2020/admin-5/radixtouch.in/templates/snkthemes/grexsan/source/light/forms-editor.html	(from http://radixtouch.in/templates/snkthemes/grexsan/source/light/index.html)
09:21:20	34032/34032	---M-Z	200	added ('OK')	text/html	etag:%22e63e8c-84f0-5a7aefc80c980-gzip%22	http://radixtouch.in/templates/snkthemes/grexsan/source/light/forms-validation.html	F:/Template-2020/admin-5/radixtouch.in/templates/snkthemes/grexsan/source/light/forms-validation.html	(from http://radixtouch.in/templates/snkthemes/grexsan/source/light/index.html)
09:21:21	32402/32402	---M-Z	200	added ('OK')	text/html	etag:%22e63e8d-7e92-5a7aefc80c980-gzip%22	http://radixtouch.in/templates/snkthemes/grexsan/source/light/form-wizard.html	F:/Template-2020/admin-5/radixtouch.in/templates/snkthemes/grexsan/source/light/form-wizard.html	(from http://radixtouch.in/templates/snkthemes/grexsan/source/light/index.html)
09:21:21	44894/44894	---M-Z	200	added ('OK')	text/html	etag:%22e63e6a-af5e-5a7aefc80c980-gzip%22	http://radixtouch.in/templates/snkthemes/grexsan/source/light/basic-table.html	F:/Template-2020/admin-5/radixtouch.in/templates/snkthemes/grexsan/source/light/basic-table.html	(from http://radixtouch.in/templates/snkthemes/grexsan/source/light/index.html)
09:21:21	67111/67111	---M-Z	200	added ('OK')	text/html	etag:%22e63e7d-10627-5a7aefc80c980-gzip%22	http://radixtouch.in/templates/snkthemes/grexsan/source/light/datatables.html	F:/Template-2020/admin-5/radixtouch.in/templates/snkthemes/grexsan/source/light/datatables.html	(from http://radixtouch.in/templates/snkthemes/grexsan/source/light/index.html)
09:21:22	50000/50000	---M-Z	200	added ('OK')	text/html	etag:%22e63e88-c350-5a7aefc80c980-gzip%22	http://radixtouch.in/templates/snkthemes/grexsan/source/light/export-table.html	F:/Template-2020/admin-5/radixtouch.in/templates/snkthemes/grexsan/source/light/export-table.html	(from http://radixtouch.in/templates/snkthemes/grexsan/source/light/index.html)
09:21:22	31706/31706	---M-Z	200	added ('OK')	text/html	etag:%22e63e7f-7bda-5a7aefc80c980-gzip%22	http://radixtouch.in/templates/snkthemes/grexsan/source/light/editable-table.html	F:/Template-2020/admin-5/radixtouch.in/templates/snkthemes/grexsan/source/light/editable-table.html	(from http://radixtouch.in/templates/snkthemes/grexsan/source/light/index.html)
09:21:22	32927/32927	---M-Z	200	added ('OK')	text/html	etag:%22e63e72-809f-5a7aefc80c980-gzip%22	http://radixtouch.in/templates/snkthemes/grexsan/source/light/chart-amchart.html	F:/Template-2020/admin-5/radixtouch.in/templates/snkthemes/grexsan/source/light/chart-amchart.html	(from http://radixtouch.in/templates/snkthemes/grexsan/source/light/index.html)
09:21:22	32557/32557	---M-Z	200	added ('OK')	text/html	etag:%22e63e73-7f2d-5a7aefc80c980-gzip%22	http://radixtouch.in/templates/snkthemes/grexsan/source/light/chart-apexchart.html	F:/Template-2020/admin-5/radixtouch.in/templates/snkthemes/grexsan/source/light/chart-apexchart.html	(from http://radixtouch.in/templates/snkthemes/grexsan/source/light/index.html)
09:21:23	32066/32066	---M-Z	200	added ('OK')	text/html	etag:%22e63e75-7d42-5a7aefc80c980-gzip%22	http://radixtouch.in/templates/snkthemes/grexsan/source/light/chart-echart.html	F:/Template-2020/admin-5/radixtouch.in/templates/snkthemes/grexsan/source/light/chart-echart.html	(from http://radixtouch.in/templates/snkthemes/grexsan/source/light/index.html)
09:21:23	32540/32540	---M-Z	200	added ('OK')	text/html	etag:%22e63e74-7f1c-5a7aefc80c980-gzip%22	http://radixtouch.in/templates/snkthemes/grexsan/source/light/chart-chartjs.html	F:/Template-2020/admin-5/radixtouch.in/templates/snkthemes/grexsan/source/light/chart-chartjs.html	(from http://radixtouch.in/templates/snkthemes/grexsan/source/light/index.html)
09:21:23	30148/30148	---M-Z	200	added ('OK')	text/html	etag:%22e63e77-75c4-5a7aefc80c980-gzip%22	http://radixtouch.in/templates/snkthemes/grexsan/source/light/chart-sparkline.html	F:/Template-2020/admin-5/radixtouch.in/templates/snkthemes/grexsan/source/light/chart-sparkline.html	(from http://radixtouch.in/templates/snkthemes/grexsan/source/light/index.html)
09:21:24	30287/30287	---M-Z	200	added ('OK')	text/html	etag:%22e63e76-764f-5a7aefc80c980-gzip%22	http://radixtouch.in/templates/snkthemes/grexsan/source/light/chart-morris.html	F:/Template-2020/admin-5/radixtouch.in/templates/snkthemes/grexsan/source/light/chart-morris.html	(from http://radixtouch.in/templates/snkthemes/grexsan/source/light/index.html)
